,logrecno,provider_id,frn,providername,dbaname,holdingcompanyname,hoconum,hocofinal,stateabbr,blockcode,techcode,consumer,maxaddown,maxadup,business
0,43703819,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,CA,60372975002011,60,0,0.0,0.0,1
1,52903043,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",KY,211539704001010,60,1,2.0,1.3,1
2,30886253,58884,18294934,Small Business Solutions Group L.L.C.,Rural Reach,Small Business Solutions Group LLC,320084,Small Business Solutions Group LLC,MI,261614470001135,70,1,30.0,20.0,1
3,71368180,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,WA,530770017021010,60,0,0.0,0.0,1
4,6312039,55574,3768165,"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,130317,Comcast Corporation,GA,131210116233004,43,1,987.0,35.0,1
5,17222703,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",SD,460930205001040,60,1,100.0,3.0,1
6,27593614,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,NY,360070007001007,43,1,940.0,35.0,1
7,17530729,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",TX,480270232032015,60,1,100.0,3.0,1
8,39214004,67057,1551530,AT&T California,AT&T California,AT&T Inc.,130077,AT&T Inc.,CA,60375439031012,10,1,6.0,0.512,0
9,57557742,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",MO,291694701012081,60,1,2.0,1.3,1
10,1129476,54412,3754785,"Service Electric Cable TV, Inc.",Service Electric Cable TV,Service Electric Television Inc.,410118,"Service Electric Cable TV and Communications, Inc.",PA,420770062024022,42,1,1000.0,40.0,1
11,31537384,59148,17535386,"VTX Communications, LLC",VTXC,"Valley Telephone Cooperative, Inc. (TX)",340001,"Valley Telephone Cooperative, Inc. (TX)",TX,482090109025002,70,1,25.0,3.0,1
12,60581506,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",NY,361031589003003,60,1,25.0,3.0,1
13,69058238,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",TX,484817407001016,60,1,25.0,3.0,1
14,49854489,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",IL,171419611001243,60,1,25.0,3.0,1
15,55907871,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",MN,271410304043052,60,1,25.0,3.0,1
16,52949126,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,LA,220019611002084,60,0,0.0,0.0,1
17,39329170,67057,1551530,AT&T California,AT&T California,AT&T Inc.,130077,AT&T Inc.,CA,60590871062025,11,1,3.0,0.384,0
18,14683943,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",ND,381010113004321,60,1,35.0,3.0,1
19,49706041,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",IL,170550407004037,60,1,25.0,3.0,1
20,7914184,55767,17649732,Rural Broadband Network Services LLC,HighSpeedLink.net,Rural Broadband Network Services LLC,290087,Rural Broadband Network Services LLC,VA,511650108002121,70,1,25.0,3.0,1
21,25072637,58089,3645843,"VTel Wireless, Inc.","VTel Wireless, Inc.","Vermont National Telephone Company, Inc.",131426,"Vermont National Telephone Company, Inc.",VT,500279650001032,70,1,1.5,0.2,1
22,71379392,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",WA,530050111006020,60,1,25.0,3.0,1
23,71686376,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",WA,530599505001017,60,1,2.0,1.3,1
24,60294038,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,NY,361219705002021,60,0,0.0,0.0,1
25,63850495,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",OK,400696603002055,60,1,2.0,1.3,1
26,4475141,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",WI,551050013043009,70,1,2.0,0.064,0
27,26765921,58623,25646373,"Charter Communications, Inc.",Charter Communications Inc,Charter Communications,130235,Charter Communications,OH,391499723002025,43,1,940.0,35.0,1
28,62520282,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,OH,391670216002044,60,0,0.0,0.0,1
29,18747008,56004,4963088,"ViaSat, Inc.",Viasat Inc,"ViaSat, Inc.",290111,"ViaSat, Inc.",VA,511970502002012,60,1,100.0,3.0,1
30,43635333,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,CA,60290037002541,60,0,0.0,0.0,1
31,72825043,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,WY,560050003003134,60,0,0.0,0.0,1
32,6530197,55574,3768165,"COMCAST CABLE COMMUNICATIONS, LLC",Comcast,Comcast Corporation,130317,Comcast Corporation,IN,180390026003002,43,1,987.0,35.0,1
33,67227649,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",TN,470999604022012,60,1,2.0,1.3,1
34,51827372,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,KS,200119556003140,60,0,0.0,0.0,1
35,19632388,56077,18564179,Cloudburst9  LLC,"Cloudburst 9, LLC",West Liberty Telephone Company,131463,West Liberty Telephone Company,IA,191839601002022,70,1,6.0,3.0,1
