,logrecno,provider_id,frn,providername,dbaname,holdingcompanyname,hoconum,hocofinal,stateabbr,blockcode,techcode,consumer,maxaddown,maxadup,business
0,46429531,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",DE,100050505043007,60,1,2.0,1.3,1
1,4535616,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",CA,60230012002165,70,1,2.0,0.064,0
2,4448974,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",WI,550791853003001,70,1,2.0,0.064,0
3,2211991,54692,6115901,ERIE COUNTY CABLEVISION INC  DBA =  THE CABLESYSTEM,Buckeye Cablesystem,"Block Communications, Inc.",130137,"Block Communications, Inc.",OH,390430414002059,42,1,300.0,10.0,1
4,48694132,59349,1568880,GCI Communication Corp.,GCI Communication Corp.,GCI Holdings LLC,130534,GCI Holdings LLC,ID,160139602002047,60,0,0.0,0.0,1
5,68486495,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",TX,481410023004006,60,1,25.0,3.0,1
6,63811127,55262,18756155,"VSAT Systems, LLC",Skycasters,"VSAT Systems, LLC",300167,"VSAT Systems, LLC",OK,400399604006176,60,1,2.0,1.3,1
7,40471283,67058,3801651,"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",AT&T Southwest,AT&T Inc.,130077,AT&T Inc.,TX,480850310043009,10,1,6.0,0.512,0
8,50899730,54694,12369286,"HNS License Sub, LLC",HughesNet,"Hughes Network Systems, LLC",130627,"Hughes Network Systems, LLC",IN,181630107002015,60,1,25.0,3.0,1
9,5178012,55394,4372322,UNITED STATES CELLULAR CORPORATION,United States Cellular Corporation,"Telephone and Data Systems, Inc.",131310,"Telephone and Data Systems, Inc.",MO,291534702005072,70,1,2.0,0.064,0
